Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|457864467|emb|CCP37706.1|,gi|457864473|emb|CCP37709.1|,gi|457864463|emb|CCP37704.1|,gi|457864477|emb|CCP37711.1|,gi|457864471|emb|CCP37708.1|,gi|457864465|emb|CCP37705.1|,gi|457864469|emb|CCP37707.1|,gi|457864459|emb|CCP37702.1|,gi|457864461|emb|CCP37703.1|,gi|457864475|emb|CCP37710.1|","RuBisCO, partial [Thalassiosira pseudonana]",706,725,869,651,644,630,775,838,774,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007
gi|98990583|gb|ABF60359.1|,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]",706,725,869,651,644,630,775,838,774,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007
"gi|329343092|gb|AEB91175.1|,gi|125987521|sp|A0T0N6.1|RBL_THAPS,gi|224015740|ref|XP_002297518.1|,gi|220967782|gb|EED86158.1|,gi|98990549|gb|ABF60342.1|,gi|2451390273|gb|WEA82721.1|,gi|118411104|ref|YP_874498.1|,gi|116739851|gb|ABK20721.1|","ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana],RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit,ribulose-bisphosphate carboxylase, large subunit or chain, chloroplast, RuBisCo [Thalassiosira pseudonana CCMP1335],ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]",706,725,869,651,644,630,775,838,774,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007
gi|2050584475|gb|QWM93016.1|,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana]",679,682,825,589,572,561,719,762,719,0.006,0.006,0.007,0.006,0.006,0.006,0.006,0.006,0.006
"gi|224005154|ref|XP_002296228.1|,gi|209586260|gb|ACI64945.1|",predicted protein [Thalassiosira pseudonana CCMP1335],479,549,571,709,813,700,615,623,609,0.005,0.005,0.005,0.009,0.01,0.008,0.006,0.006,0.006
gi|2414125445|gb|WAS08306.1|,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana]",543,512,633,494,484,471,554,595,557,0.008,0.008,0.009,0.01,0.01,0.009,0.009,0.009,0.009
"gi|223993043|ref|XP_002286205.1|,gi|220977520|gb|EED95846.1|","glyceraldehyde-3-phosphate dehydrogenase precursor, partial [Thalassiosira pseudonana CCMP1335]",468,470,516,543,525,533,554,521,505,0.005,0.005,0.006,0.008,0.008,0.008,0.006,0.006,0.006
"gi|125987721|sp|A0T0R6.1|ATPB_THAPS,gi|224015776|ref|XP_002297536.1|,gi|118411134|ref|YP_874528.1|,gi|2050584445|gb|QWM92986.1|,gi|116739881|gb|ABK20751.1|,gi|220967800|gb|EED86176.1|","RecName: Full=ATP synthase subunit beta, chloroplastic; AltName: Full=ATP synthase F1 sector subunit beta; AltName: Full=F-ATPase subunit beta,predicted protein [Thalassiosira pseudonana CCMP1335],ATP synthase CF1 beta subunit (chloroplast) [Thalassiosira pseudonana],CF1 beta subunit of ATP synthase (chloroplast) [Thalassiosira pseudonana],ATP synthase CF1 beta chain (chloroplast) [Thalassiosira pseudonana]",475,526,558,474,468,477,475,488,458,0.004,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004
"gi|223995033|ref|XP_002287200.1|,gi|220976316|gb|EED94643.1|",transketolase [Thalassiosira pseudonana CCMP1335],359,426,442,560,589,615,451,470,483,0.002,0.003,0.003,0.005,0.005,0.005,0.003,0.003,0.003
gi|817091128|gb|AKF18168.1|,"ATP synthase beta subunit, partial (chloroplast) [Thalassiosira pseudonana]",456,496,523,459,454,459,446,458,426,0.004,0.005,0.005,0.006,0.006,0.006,0.004,0.004,0.004
"gi|224012869|ref|XP_002295087.1|,gi|220969526|gb|EED87867.1|","fucoxanthin chlorophyll a/c protein 1, partial [Thalassiosira pseudonana CCMP1335]",323,333,383,429,411,459,484,581,473,0.007,0.007,0.008,0.012,0.012,0.013,0.011,0.013,0.011
"gi|224012180|ref|XP_002294743.1|,gi|220969763|gb|EED88103.1|","fucoxanthin chlorophyll a/c protein 2, partial [Thalassiosira pseudonana CCMP1335]",323,333,383,429,411,459,484,581,473,0.007,0.007,0.008,0.012,0.012,0.012,0.01,0.012,0.011
"gi|209586115|gb|ACI64800.1|,gi|224004864|ref|XP_002296083.1|",acetyl-coa carboxylase [Thalassiosira pseudonana CCMP1335],539,494,517,355,346,326,409,438,369,0.001,0.000998,0.001,0.000909,0.000922,0.000831,0.000832,0.000877,0.00078
"gi|224015794|ref|XP_002297545.1|,gi|2599405793|pdb|8IWH|B,gi|220967809|gb|EED86185.1|,gi|116739860|gb|ABK20730.1|,gi|118411113|ref|YP_874507.1|,gi|2050584466|gb|QWM93007.1|,gi|2599405838|pdb|8IWH|b","predicted protein [Thalassiosira pseudonana CCMP1335],Chain B, Photosystem II CP47 reaction center protein,photosystem II chlorophyll A core antenna apoprotein (chloroplast) [Thalassiosira pseudonana],photosystem II 47 kDa protein (chloroplast) [Thalassiosira pseudonana],CP47 chlorophyll apoprotein of photosystem II (chloroplast) [Thalassiosira pseudonana],Chain b, Photosystem II CP47 reaction center protein",485,550,603,176,152,177,457,516,467,0.004,0.005,0.005,0.002,0.002,0.002,0.004,0.004,0.004
"gi|224000930|ref|XP_002290137.1|,gi|220973559|gb|EED91889.1|",fucoxanthin chlorophyll a/c protein 8 [Thalassiosira pseudonana CCMP1335],368,415,481,225,246,272,443,517,467,0.006,0.007,0.008,0.005,0.005,0.006,0.007,0.008,0.008
"gi|220977751|gb|EED96077.1|,gi|223993505|ref|XP_002286436.1|",fucoxanthin chlorophyll a/c protein 8 [Thalassiosira pseudonana CCMP1335],368,415,481,225,246,272,443,517,467,0.007,0.008,0.009,0.006,0.007,0.007,0.009,0.01,0.01
"gi|220972037|gb|EED90370.1|,gi|224006870|ref|XP_002292395.1|",hypothetical protein THAPSDRAFT_7881 [Thalassiosira pseudonana CCMP1335],288,369,372,394,425,444,370,383,384,0.004,0.005,0.005,0.007,0.008,0.008,0.005,0.005,0.006
"gi|224004780|ref|XP_002296041.1|,gi|209586073|gb|ACI64758.1|",F-type H-ATPase beta subunit [Thalassiosira pseudonana CCMP1335],332,377,413,349,343,353,372,412,374,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003
gi|1778745|gb|AAB40914.1|,"fucoxanthin-chlorophyll a/c light-harvesting protein, partial [Thalassiosira pseudonana]",269,278,313,328,305,373,417,492,408,0.009,0.009,0.01,0.014,0.013,0.016,0.014,0.016,0.014
"gi|2742384286|pdb|8JP3|A,gi|2742384287|pdb|8JP3|B,gi|2742384288|pdb|8JP3|C","Chain A, Fucoxanthin chlorophyll a/c protein 8,Chain B, Fucoxanthin chlorophyll a/c protein 8,Chain C, Fucoxanthin chlorophyll a/c protein 8",343,390,440,206,222,241,413,476,436,0.008,0.009,0.01,0.006,0.007,0.007,0.01,0.011,0.011
gi|1778747|gb|AAB40915.1|,"fucoxanthin-chlorophyll a/c light-harvesting protein, partial [Thalassiosira pseudonana]",339,383,436,206,222,236,407,464,426,0.011,0.012,0.014,0.008,0.01,0.01,0.013,0.015,0.014
"gi|224015796|ref|XP_002297546.1|,gi|220967810|gb|EED86186.1|,gi|116739859|gb|ABK20729.1|,gi|2050584467|gb|QWM93008.1|,gi|118411112|ref|YP_874506.1|,gi|125987716|sp|A0T0P4.1|ATPA_THAPS","ATP synthase alpha chain, thylakoid ATPase, plastid protein [Thalassiosira pseudonana CCMP1335],ATP synthase CF1 alpha chain (chloroplast) [Thalassiosira pseudonana],CF1 alpha subunit of ATP synthase (chloroplast) [Thalassiosira pseudonana],ATP synthase CF1 alpha subunit (chloroplast) [Thalassiosira pseudonana],RecName: Full=ATP synthase subunit alpha, chloroplastic; AltName: Full=ATP synthase F1 sector subunit alpha; AltName: Full=F-ATPase subunit alpha",284,337,378,312,332,371,333,364,375,0.002,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003
"gi|224013245|ref|XP_002295274.1|,gi|220968997|gb|EED87340.1|",hypothetical protein THAPSDRAFT_270138 [Thalassiosira pseudonana CCMP1335],284,301,328,354,365,372,353,382,332,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.002
"gi|224006446|ref|XP_002292183.1|,gi|220971825|gb|EED90158.1|",predicted protein [Thalassiosira pseudonana CCMP1335],284,362,367,307,307,365,343,361,368,0.004,0.005,0.005,0.006,0.006,0.007,0.005,0.005,0.006
"gi|2814830991|pdb|8WQP|A,gi|2814830992|pdb|8WQP|B","Chain A, Diatom the pyrenoid shell protein,Chain B, Diatom the pyrenoid shell protein",255,325,329,269,270,329,316,324,335,0.005,0.006,0.006,0.006,0.006,0.008,0.006,0.006,0.006
"gi|224000661|ref|XP_002290003.1|,gi|220975211|gb|EED93540.1|",predicted protein [Thalassiosira pseudonana CCMP1335],225,236,256,333,349,376,301,304,286,0.002,0.002,0.003,0.004,0.005,0.005,0.003,0.003,0.003
"gi|220972727|gb|EED91058.1|,gi|220973118|gb|EED91449.1|,gi|224002559|ref|XP_002290951.1|,gi|224003341|ref|XP_002291342.1|","hypothetical protein THAPSDRAFT_28496 [Thalassiosira pseudonana CCMP1335],predicted protein [Thalassiosira pseudonana CCMP1335]",326,316,371,253,244,244,322,303,272,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002
"gi|224009147|ref|XP_002293532.1|,gi|220970932|gb|EED89268.1|",predicted protein [Thalassiosira pseudonana CCMP1335],281,311,295,279,258,276,319,309,274,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|125991846|sp|A0T100.1|EFTU_THAPS,gi|116739965|gb|ABK20835.1|,gi|118411218|ref|YP_874612.1|,gi|2050584502|gb|QWM93043.1|","RecName: Full=Elongation factor Tu, chloroplastic; Short=EF-Tu,translation elongation factor Tu (chloroplast) [Thalassiosira pseudonana],elongation factor Tu (chloroplast) [Thalassiosira pseudonana],translational elongation factor Tu (chloroplast) [Thalassiosira pseudonana]",263,267,284,339,331,303,264,251,267,0.003,0.003,0.003,0.004,0.005,0.004,0.003,0.003,0.003
"gi|223997788|ref|XP_002288567.1|,gi|220975675|gb|EED94003.1|",heat shock protein/chaperone [Thalassiosira pseudonana CCMP1335],297,296,280,287,265,291,301,269,275,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|224007705|ref|XP_002292812.1|,gi|220971674|gb|EED90008.1|",translation elongation factor alpha [Thalassiosira pseudonana CCMP1335],333,334,392,167,152,172,296,295,290,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003
"gi|224003673|ref|XP_002291508.1|,gi|220973284|gb|EED91615.1|",heat shock protein 70 [Thalassiosira pseudonana CCMP1335],333,314,327,184,186,205,257,286,267,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|2599405819|pdb|8IWH|o,gi|2599405818|pdb|8IWH|O,gi|224003107|ref|XP_002291225.1|,gi|220973001|gb|EED91332.1|","Chain o, Oxygen-evolving enhancer protein 1,Chain O, Oxygen-evolving enhancer protein 1,oxygen-evolving enhancer protein 1 precursor [Thalassiosira pseudonana CCMP1335]",277,252,276,234,222,242,283,284,279,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"gi|224013339|ref|XP_002295321.1|,gi|220969044|gb|EED87387.1|",ferredoxin-nadp reductase [Thalassiosira pseudonana CCMP1335],264,246,277,231,183,256,293,298,291,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.004,0.004
"gi|2599405841|pdb|8IWH|Q,gi|223993775|ref|XP_002286571.1|,gi|2599405842|pdb|8IWH|q,gi|220977886|gb|EED96212.1|","Chain Q, Photosystem II subunit, PsbQ.,predicted protein [Thalassiosira pseudonana CCMP1335],Chain q, Photosystem II subunit, PsbQ.",220,235,268,195,187,207,281,293,269,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006
"gi|224011910|ref|XP_002294608.1|,gi|220969628|gb|EED87968.1|",fucoxanthin chlorophyll a/c protein 5 [Thalassiosira pseudonana CCMP1335],206,181,214,265,263,219,264,299,231,0.004,0.004,0.004,0.007,0.007,0.006,0.006,0.006,0.005
"gi|224003375|ref|XP_002291359.1|,gi|220973135|gb|EED91466.1|","ascorbate peroxidase, partial [Thalassiosira pseudonana CCMP1335]",188,204,215,199,183,223,221,237,215,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003
"gi|224006249|ref|XP_002292085.1|,gi|220972604|gb|EED90936.1|",predicted protein [Thalassiosira pseudonana CCMP1335],187,210,201,204,203,219,193,196,191,0.002,0.003,0.002,0.003,0.003,0.004,0.003,0.003,0.003
"gi|224010828|ref|XP_002294371.1|,gi|220969866|gb|EED88205.1|",pyruvate carboxylase-like protein [Thalassiosira pseudonana CCMP1335],230,237,235,173,152,159,191,216,184,0.000829,0.000866,0.000821,0.000801,0.000732,0.000733,0.000703,0.000782,0.000703
"gi|220974544|gb|EED92873.1|,gi|223999327|ref|XP_002289336.1|",CPSase [Thalassiosira pseudonana CCMP1335],206,214,220,187,175,166,200,206,195,0.000577,0.000608,0.000598,0.000673,0.000656,0.000595,0.000572,0.00058,0.00058
"gi|220972372|gb|EED90704.1|,gi|224005785|ref|XP_002291853.1|",probable serine protease inhibitor [Thalassiosira pseudonana CCMP1335],169,199,198,209,208,211,187,189,186,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|224005467|ref|XP_002291694.1|,gi|220972213|gb|EED90545.1|","mitochondrial ATPase, inner membrane [Thalassiosira pseudonana CCMP1335]",224,239,246,154,165,150,192,205,178,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001
"gi|220972945|gb|EED91276.1|,gi|224002995|ref|XP_002291169.1|",translation factor tu domain 2 [Thalassiosira pseudonana CCMP1335],220,230,224,143,137,140,218,219,205,0.001,0.001,0.001,0.000916,0.000913,0.000893,0.001,0.001,0.001
"gi|223999069|ref|XP_002289207.1|,gi|220974415|gb|EED92744.1|","ABC cassette-containing protein, partial [Thalassiosira pseudonana CCMP1335]",235,225,235,135,124,123,220,224,209,0.001,0.001,0.001,0.000772,0.000738,0.0007,0.001,0.001,0.000987
"gi|118411189|ref|YP_874583.1|,gi|116739936|gb|ABK20806.1|,gi|125991836|sp|A0T0X1.1|DNAK_THAPS","heat shock protein 70 (chloroplast) [Thalassiosira pseudonana],Hsp70-type chaperone (chloroplast) [Thalassiosira pseudonana],RecName: Full=Chaperone protein dnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",196,215,239,173,168,173,164,187,182,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
"gi|224000667|ref|XP_002290006.1|,gi|220975214|gb|EED93543.1|",predicted protein [Thalassiosira pseudonana CCMP1335],225,213,220,172,148,146,170,188,185,0.000682,0.000655,0.000647,0.00067,0.0006,0.000566,0.000526,0.000572,0.000595
gi|2050584531|gb|QWM93072.1|,Hsp70-type chaperone (chloroplast) [Thalassiosira pseudonana],191,209,234,161,157,169,158,183,177,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001
"gi|224011563|ref|XP_002295556.1|,gi|209583587|gb|ACI64273.1|",mitochondrial chaperonin [Thalassiosira pseudonana CCMP1335],171,181,178,184,177,190,192,186,180,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001
"gi|220975991|gb|EED94319.1|,gi|223998420|ref|XP_002288883.1|",probable S-adenosylmethionine synthetase [Thalassiosira pseudonana CCMP1335],170,202,187,151,170,158,196,168,183,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|224007941|ref|XP_002292930.1|,gi|220971792|gb|EED90126.1|",clathrin heavy chain [Thalassiosira pseudonana CCMP1335],232,244,255,113,93,100,185,181,162,0.000562,0.000599,0.000599,0.000352,0.000301,0.00031,0.000457,0.00044,0.000416
"gi|220969917|gb|EED88256.1|,gi|224010930|ref|XP_002294422.1|",3-isopropylmalate dehydratase [Thalassiosira pseudonana CCMP1335],169,163,171,200,190,168,169,166,148,0.000873,0.000853,0.000857,0.001,0.001,0.001,0.000891,0.000861,0.000811
gi|589908182|dbj|BAO52718.1|,delta carbonic anhydrase [Thalassiosira pseudonana CCMP1335],141,142,153,193,201,203,161,173,169,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002
gi|2599405835|pdb|8IWH|6,"Chain 6, Fucoxanthin chlorophyll a/c protein 5",156,133,148,164,157,138,203,223,176,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.004
gi|2599405857|pdb|8J0D|6,"Chain 6, Fucoxanthin chlorophyll a/c protein 5",156,133,148,164,157,138,203,223,176,0.004,0.003,0.004,0.005,0.005,0.004,0.005,0.006,0.005
"gi|224001232|ref|XP_002290288.1|,gi|220973710|gb|EED92040.1|",glyceraldehyde-3-phosphate dehydrogenase [Thalassiosira pseudonana CCMP1335],125,122,135,193,213,221,177,170,141,0.002,0.001,0.002,0.003,0.003,0.003,0.002,0.002,0.002
"gi|224011888|ref|XP_002294597.1|,gi|220969617|gb|EED87957.1|",hypothetical protein THAPSDRAFT_25629 [Thalassiosira pseudonana CCMP1335],205,198,192,130,125,130,148,192,162,0.001,0.001,0.000981,0.00088,0.00088,0.000876,0.000796,0.001,0.000905
"gi|220972894|gb|EED91225.1|,gi|224002893|ref|XP_002291118.1|",HSP90 family member [Thalassiosira pseudonana CCMP1335],177,179,199,141,115,135,175,166,152,0.001,0.001,0.001,0.001,0.000906,0.001,0.001,0.000983,0.000951
"gi|224004316|ref|XP_002295809.1|,gi|209585841|gb|ACI64526.1|","chaperone, heat shock protein 70 [Thalassiosira pseudonana CCMP1335]",166,180,165,157,152,158,155,147,146,0.001,0.001,0.000994,0.001,0.001,0.001,0.000983,0.000917,0.000962
"gi|156632585|sp|A0T0N2.1|CY550_THAPS,gi|224015744|ref|XP_002297520.1|,gi|116739847|gb|ABK20717.1|,gi|2050584479|gb|QWM93020.1|,gi|220967784|gb|EED86160.1|,gi|118411100|ref|YP_874494.1|","RecName: Full=Photosystem II extrinsic protein V; Short=PsbV; AltName: Full=Cytochrome c-550; AltName: Full=Cytochrome c550; Flags: Precursor,cytochrome c550, PsbV [Thalassiosira pseudonana CCMP1335],PsbV (chloroplast) [Thalassiosira pseudonana],cytochrome c550 of photosystem II (chloroplast) [Thalassiosira pseudonana],photosystem II cytochrome c550 (chloroplast) [Thalassiosira pseudonana]",119,117,116,138,143,165,203,195,212,0.003,0.003,0.003,0.005,0.005,0.005,0.005,0.005,0.006
"gi|223997044|ref|XP_002288195.1|,gi|220975303|gb|EED93631.1|",histone H2B [Thalassiosira pseudonana CCMP1335],185,214,213,93,93,113,165,173,150,0.006,0.008,0.007,0.004,0.004,0.005,0.006,0.006,0.006
"gi|220974278|gb|EED92608.1|,gi|224002368|ref|XP_002290856.1|,gi|220970505|gb|EED88842.1|,gi|209586203|gb|ACI64888.1|,gi|224004324|ref|XP_002295813.1|,gi|224005040|ref|XP_002296171.1|,gi|209585845|gb|ACI64530.1|,gi|224009750|ref|XP_002293833.1|","histone H2B [Thalassiosira pseudonana CCMP1335],predicted protein [Thalassiosira pseudonana CCMP1335]",185,214,213,93,93,113,165,173,150,0.006,0.008,0.007,0.004,0.004,0.005,0.006,0.006,0.006
"gi|220969356|gb|EED87697.1|,gi|224012529|ref|XP_002294917.1|",actin-like protein [Thalassiosira pseudonana CCMP1335],141,129,164,170,177,161,152,156,146,0.002,0.001,0.002,0.002,0.003,0.002,0.002,0.002,0.002
"gi|116739850|gb|ABK20720.1|,gi|118411103|ref|YP_874497.1|","ribulose-1,5-bisphosphate carboxylase/oxygenase small subunit (chloroplast) [Thalassiosira pseudonana]",146,144,168,138,139,154,170,179,157,0.004,0.004,0.005,0.005,0.006,0.006,0.005,0.005,0.005
"gi|220975793|gb|EED94121.1|,gi|223998024|ref|XP_002288685.1|",14-3-3-like protein [Thalassiosira pseudonana CCMP1335],158,155,180,140,123,138,169,154,155,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
"gi|224000918|ref|XP_002290131.1|,gi|220973553|gb|EED91883.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",126,124,142,168,176,178,146,159,149,0.002,0.002,0.002,0.003,0.004,0.003,0.002,0.002,0.002
"gi|220975222|gb|EED93551.1|,gi|224000683|ref|XP_002290014.1|",ferredoxin--NADP+ reductase [Thalassiosira pseudonana CCMP1335],145,148,155,149,127,155,162,167,151,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|2599405825|pdb|8IWH|v,gi|2599405824|pdb|8IWH|V","Chain v, Cytochrome c-550,Chain V, Cytochrome c-550",118,114,115,127,129,151,195,186,201,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.005
"gi|220971171|gb|EED89506.1|,gi|224008172|ref|XP_002293045.1|",predicted protein [Thalassiosira pseudonana CCMP1335],139,125,137,174,156,174,154,131,127,0.002,0.002,0.002,0.004,0.004,0.004,0.003,0.002,0.002
"gi|220973702|gb|EED92032.1|,gi|224001216|ref|XP_002290280.1|",fucoxanthin chlorophyll a/c light-harvesting protein [Thalassiosira pseudonana CCMP1335],195,182,191,85,68,77,176,181,154,0.004,0.003,0.004,0.002,0.002,0.002,0.003,0.003,0.003
"gi|220977932|gb|EED96258.1|,gi|223993867|ref|XP_002286617.1|",hypothetical protein THAPSDRAFT_267952 [Thalassiosira pseudonana CCMP1335],197,191,175,102,104,89,141,153,150,0.001,0.000994,0.000871,0.000672,0.000714,0.000584,0.000739,0.000788,0.000817
"gi|209586160|gb|ACI64845.1|,gi|224004954|ref|XP_002296128.1|",predicted protein [Thalassiosira pseudonana CCMP1335],147,147,155,133,129,147,135,133,138,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001
"gi|224000653|ref|XP_002289999.1|,gi|220975207|gb|EED93536.1|",vacuolar ATPase [Thalassiosira pseudonana CCMP1335],144,137,147,119,117,126,151,140,147,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"gi|224000942|ref|XP_002290143.1|,gi|220973565|gb|EED91895.1|",predicted protein [Thalassiosira pseudonana CCMP1335],135,138,126,131,135,144,138,134,125,0.004,0.004,0.003,0.005,0.005,0.005,0.004,0.004,0.004
"gi|220967775|gb|EED86151.1|,gi|116739885|gb|ABK20755.1|,gi|2050584441|gb|QWM92982.1|,gi|118411138|ref|YP_874532.1|,gi|224015726|ref|XP_002297511.1|","mg-protoporphyrin IX chelatase [Thalassiosira pseudonana CCMP1335],magnesium-chelatase subunit I (chloroplast) [Thalassiosira pseudonana],magnesium chelatase subunit of protochlorophyllide reductase (chloroplast) [Thalassiosira pseudonana],Mg-protoporyphyrin IX chelatase (chloroplast) [Thalassiosira pseudonana]",135,135,127,136,118,128,146,145,133,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002
"gi|2050584442|gb|QWM92983.1|,gi|224015774|ref|XP_002297535.1|,gi|193805981|sp|A0T0R9.1|CYF_THAPS,gi|220967799|gb|EED86175.1|,gi|116739884|gb|ABK20754.1|,gi|118411137|ref|YP_874531.1|","apocytochrome f of cytochrome b6/f complex (chloroplast) [Thalassiosira pseudonana],predicted protein [Thalassiosira pseudonana CCMP1335],RecName: Full=Cytochrome f; Flags: Precursor,cytochrome f (chloroplast) [Thalassiosira pseudonana]",127,120,138,136,115,124,149,145,142,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|224001278|ref|XP_002290311.1|,gi|220973733|gb|EED92063.1|",enolase [Thalassiosira pseudonana CCMP1335],120,119,114,159,122,156,137,133,132,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001
"gi|224013212|ref|XP_002295258.1|,gi|220969220|gb|EED87562.1|","fucoxanthin chlorophyll a/c protein, LI818 clade [Thalassiosira pseudonana CCMP1335]",107,100,125,131,136,149,135,154,147,0.002,0.002,0.002,0.003,0.004,0.004,0.003,0.003,0.003
"gi|224013064|ref|XP_002295184.1|,gi|220969146|gb|EED87488.1|","fucoxanthin chlorophyll a/c protein, LI818 clade [Thalassiosira pseudonana CCMP1335]",107,100,125,131,136,149,135,154,147,0.002,0.002,0.002,0.003,0.004,0.004,0.003,0.003,0.003
"gi|220970459|gb|EED88796.1|,gi|224009658|ref|XP_002293787.1|",phosphoadenosine-phosphosulphate reductase [Thalassiosira pseudonana CCMP1335],132,153,160,113,109,128,133,126,125,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001
"gi|220974298|gb|EED92628.1|,gi|224002408|ref|XP_002290876.1|",aconitase hydratase 2 [Thalassiosira pseudonana CCMP1335],135,136,145,107,99,102,157,151,140,0.000643,0.000657,0.00067,0.000655,0.00063,0.000621,0.000763,0.000722,0.000707
gi|193735617|ref|YP_874543.2|,photosystem II 44 kDa protein (chloroplast) [Thalassiosira pseudonana],130,137,139,111,116,117,143,145,123,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"gi|2050584430|gb|QWM92971.1|,gi|224015772|ref|XP_002297534.1|,gi|220967798|gb|EED86174.1|,gi|116739896|gb|ABK20766.1|","CP43 chlorophyll apoprotein of photosystem II (chloroplast) [Thalassiosira pseudonana],PSBC, photosystem II 44 kDa reaction center protein [Thalassiosira pseudonana CCMP1335],photosystem II chlorophyll A core antenna apoprotein CP43 (chloroplast) [Thalassiosira pseudonana]",130,137,139,111,116,117,143,145,123,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"gi|223999217|ref|XP_002289281.1|,gi|220974489|gb|EED92818.1|",phosphoribulokinase [Thalassiosira pseudonana CCMP1335],149,179,177,77,56,91,155,160,116,0.002,0.002,0.002,0.001,0.000801,0.001,0.002,0.002,0.001
"gi|224000728|ref|XP_002290036.1|,gi|220973458|gb|EED91788.1|,gi|220973902|gb|EED92232.1|,gi|224001616|ref|XP_002290480.1|","cation transporting ATPase, partial [Thalassiosira pseudonana CCMP1335],predicted protein, partial [Thalassiosira pseudonana CCMP1335]",128,136,156,117,114,108,133,138,126,0.000566,0.00061,0.000669,0.000665,0.000674,0.000611,0.0006,0.000613,0.000591
"gi|220975807|gb|EED94135.1|,gi|223998052|ref|XP_002288699.1|",glycine decarboxylase p-protein [Thalassiosira pseudonana CCMP1335],148,145,148,110,95,94,146,136,128,0.000633,0.000629,0.000614,0.000604,0.000543,0.000514,0.000637,0.000584,0.000581
"gi|224012725|ref|XP_002295015.1|,gi|220969454|gb|EED87795.1|",predicted protein [Thalassiosira pseudonana CCMP1335],129,125,140,105,102,103,144,156,135,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
"gi|223993143|ref|XP_002286255.1|,gi|220977570|gb|EED95896.1|",adenine nucleotide translocator; ATP/ADP translocase [Thalassiosira pseudonana CCMP1335],135,154,148,97,88,93,138,149,133,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
