Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|224015173|ref|XP_002297246.1|,gi|220968100|gb|EED86453.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",19,16,18,12,6,9,15,12,9,0.000197,0.000168,0.000181,0.00016,8.31e-05,0.000119,0.000159,0.000125,9.88e-05
"gi|220974636|gb|EED92965.1|,gi|223999511|ref|XP_002289428.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",12,12,14,16,12,10,11,17,11,0.000617,0.000625,0.000698,0.001,0.000824,0.000657,0.000577,0.000877,0.0006
"gi|220975021|gb|EED93350.1|,gi|224000281|ref|XP_002289813.1|","RNA helicase, partial [Thalassiosira pseudonana CCMP1335]",11,12,17,12,14,12,11,9,17,9.83e-05,0.000109,0.000147,0.000138,0.000167,0.000137,0.0001,8.07e-05,0.000161
"gi|220975250|gb|EED93578.1|,gi|223996938|ref|XP_002288142.1|",predicted protein [Thalassiosira pseudonana CCMP1335],13,10,7,16,14,16,15,11,13,0.000238,0.000186,0.000125,0.000377,0.000343,0.000375,0.000281,0.000203,0.000253
"gi|220977111|gb|EED95438.1|,gi|223996643|ref|XP_002287995.1|",predicted protein [Thalassiosira pseudonana CCMP1335],13,9,14,14,17,12,15,12,9,0.00012,8.4e-05,0.000125,0.000166,0.000209,0.000141,0.000141,0.000111,8.79e-05
"gi|220978350|gb|EED96676.1|,gi|223994703|ref|XP_002287035.1|",predicted protein [Thalassiosira pseudonana CCMP1335],14,9,11,19,9,13,15,13,12,0.000367,0.000239,0.000279,0.000639,0.000315,0.000435,0.000401,0.000342,0.000333
"gi|224001180|ref|XP_002290262.1|,gi|220973684|gb|EED92014.1|",probable dUTP pyrophosphatase [Thalassiosira pseudonana CCMP1335],9,15,8,13,16,15,11,12,15,0.000231,0.000391,0.000199,0.000429,0.00055,0.000493,0.000288,0.00031,0.000409
"gi|224002252|ref|XP_002290798.1|,gi|220974220|gb|EED92550.1|","glucose-6-phosphate 1-dehydrogenase, partial [Thalassiosira pseudonana CCMP1335]",14,8,19,12,8,12,17,12,12,0.000117,6.81e-05,0.000155,0.000129,8.97e-05,0.000129,0.000146,0.000101,0.000107
"gi|209586356|gb|ACI65041.1|,gi|224005346|ref|XP_002296324.1|",glutathione reductase [Thalassiosira pseudonana CCMP1335],13,14,20,12,11,9,13,10,11,0.000109,0.000119,0.000163,0.00013,0.000124,9.68e-05,0.000112,8.44e-05,9.81e-05
"gi|220974116|gb|EED92446.1|,gi|224002044|ref|XP_002290694.1|",probable aspartyl aminopeptidase [Thalassiosira pseudonana CCMP1335],12,12,10,11,17,12,14,10,15,0.000102,0.000104,8.26e-05,0.00012,0.000193,0.000131,0.000122,8.55e-05,0.000135
"gi|224007571|ref|XP_002292745.1|,gi|220971607|gb|EED89941.1|",predicted protein [Thalassiosira pseudonana CCMP1335],18,13,16,9,6,9,16,16,10,0.000339,0.000248,0.000292,0.000218,0.000151,0.000217,0.000308,0.000303,0.0002
"gi|220975309|gb|EED93637.1|,gi|223997056|ref|XP_002288201.1|",predicted protein [Thalassiosira pseudonana CCMP1335],10,11,15,9,10,10,15,16,16,7.88e-05,8.79e-05,0.000115,9.11e-05,0.000105,0.000101,0.000121,0.000127,0.000134
"gi|220977184|gb|EED95511.1|,gi|223996789|ref|XP_002288068.1|",predicted protein [Thalassiosira pseudonana CCMP1335],12,15,12,9,7,11,17,14,15,0.000122,0.000154,0.000118,0.000117,9.5e-05,0.000143,0.000176,0.000143,0.000162
"gi|223993307|ref|XP_002286337.1|,gi|220977652|gb|EED95978.1|",predicted protein [Thalassiosira pseudonana CCMP1335],16,12,13,11,6,14,16,11,13,0.000183,0.00014,0.000145,0.000162,9.2e-05,0.000205,0.000187,0.000127,0.000158
"gi|223997764|ref|XP_002288555.1|,gi|220975663|gb|EED93991.1|",predicted protein [Thalassiosira pseudonana CCMP1335],14,11,12,14,15,12,10,9,15,0.000158,0.000126,0.000131,0.000203,0.000226,0.000173,0.000115,0.000102,0.000179
"gi|224001782|ref|XP_002290563.1|,gi|220973985|gb|EED92315.1|",predicted protein [Thalassiosira pseudonana CCMP1335],11,11,13,11,16,15,13,9,13,0.000158,0.000161,0.000182,0.000204,0.000308,0.000276,0.000191,0.00013,0.000199
"gi|224004206|ref|XP_002295754.1|,gi|209585786|gb|ACI64471.1|",predicted protein [Thalassiosira pseudonana CCMP1335],13,14,18,16,19,16,5,6,5,0.000354,0.000386,0.000475,0.000559,0.000691,0.000557,0.000139,0.000164,0.000144
